Name,Easting,Northing,Type,Voltage__kV_,BSP_Group,BCA_Group__GSP_
Green St T12 & T13 (33 kV / 6.6 kV),"358225.0","404888.0",Primary,33 kV / 6.6,Wigan,Kirkby
Greenfield (33 kV / 11 kV),"399322.0","404583.0",Primary,33 kV / 11,Hartshead-Heyrod,Stalybridge
Greenhill (33 kV / 6.6 kV),"393262.0","404755.0",Primary,33 kV / 6.6,Greenhill,Whitegate
Griffin (33 kV / 6.6 kV),"367171.0","427130.0",Primary,33 kV / 6.6,Lower Darwen,Rochdale
Hadfield (33 kV / 11 kV),"401790.0","395876.0",Primary,33 kV / 11,Hyde,Stalybridge
Hall Cross (33 kV / 6.6 kV),"342288.0","430650.0",Primary,33 kV / 6.6,Peel,Penwortham 
Handforth (33 kV / 11 kV),"385958.0","383397.0",Primary,33 kV / 11,Moss Nook,South Manchester
Hanging Bridge (33 kV / 11 kV),"346186.0","417486.0",Primary,33 kV / 11,Wrightington,Penwortham 
Hareholme (33 kV / 6.6 kV),"382535.0","422283.0",Primary,33 kV / 6.6,Rossendale,Padiham
Harpurhey (33 kV / 6.6 kV),"385907.0","402469.0",Primary,33 kV / 6.6,Red Bank,Whitegate
Harwood (33 kV / 11 kV),"374043.0","410941.0",Primary,33 kV / 11,Bolton,Kearsley
Hattersley (33 kV / 11 kV),"398419.0","395120.0",Primary,33 kV / 11,Hyde,Stalybridge
Haverthwaite (33 kV / 11 kV),"334234.0","483827.0",Primary,33 kV / 11,Ulverston,Harker
Hawk Green (33 kV / 11 kV),"395915.0","387138.0",Primary,33 kV / 11,Hazel Grove,Bredbury
Haydock (33 kV / 11 kV),"357489.0","397336.0",Primary,33 kV / 11,Golborne,Bold
Hda No1 & Hda No2 (33 kV / 11 kV),"301743.0","524532.0",Primary,33 kV / 11,Stainburn & Siddick,Harker
Hda No1 & Hda No2 (33 kV / 11 kV),"301429.0","525527.0",Primary,33 kV / 11,Stainburn & Siddick,Harker
Heady Hill (33 kV / 6.6 kV),"384370.0","410583.0",Primary,33 kV / 6.6,Castleton,Rochdale
Heap Bridge (33 kV / 6.6 kV),"382793.0","410428.0",Primary,33 kV / 6.6,Bury,Kearsley
Heasandford (33 kV / 6.6 kV),"385349.0","433821.0",Primary,33 kV / 6.6,Burnley,Rochdale
Heaton Moor (33 kV / 6.6 kV),"387623.0","391345.0",Primary,33 kV / 6.6,Vernon Park,Bredbury
Heaton Norris (33 kV / 6.6 kV),"388860.0","391967.0",Primary,33 kV / 6.6,Vernon Park,Bredbury
Helwith Bridge (33 kV / 11 kV),"381025.0","469428.0",Primary,33 kV / 11,Padiham,Padiham
Hensingham (33 kV / 11 kV),"298465.0","517239.0",Primary,33 kV / 11,Egremont,Harker
Heyrod (33 kV / 6.6 kV),"397310.0","399981.0",Primary,33 kV / 6.6,Hartshead-Heyrod,Stalybridge
Heyside (33 kV / 6.6 kV),"393433.0","407129.0",Primary,33 kV / 6.6,Royton,Whitegate
Heywood (33 kV / 6.6 kV),"385429.0","410369.0",Primary,33 kV / 6.6,Castleton,Rochdale
Higher Mill (33 kV / 6.6 kV),"385731.0","388090.0",Primary,33 kV / 6.6,Moss Nook,South Manchester
Higher Walton (33 kV / 11 kV),"358020.0","427270.0",Primary,33 kV / 11,Leyland,Penwortham 
Hill Top T11 & T12 (33 kV / 11 kV),"373466.0","403748.0",Primary,33 kV / 11,Kearsley Local,Kearsley
Hill Top T13 (33 kV / 11 kV),"373476.0","403758.0",Primary,33 kV / 11,Kearsley Local,Kearsley
Hindley Green (33 kV / 11 kV),"363389.0","403254.0",Primary,33 kV / 11,Atherton,Kearsley
Hollinwood (33 kV / 6.6 kV),"390287.0","402592.0",Primary,33 kV / 6.6,Chadderton,Whitegate
Holme Rd (33 kV / 11 kV),"352311.0","429141.0",Primary,33 kV / 11,Ribble,Penwortham 
Holt St (33 kV / 11 kV),"378620.0","416362.0",Primary,33 kV / 11,Bury,Kearsley
Hurst (33 kV / 6.6 kV),"394658.0","400360.0",Primary,33 kV / 6.6,Hartshead-Heyrod,Stalybridge
Hutton End & Skelton C (33 kV / 11 kV),"345810.0","538827.0",Primary,33 kV / 11,Penrith & Shap,Hutton
Hyde (33 kV / 6.6 kV),"395215.0","395126.0",Primary,33 kV / 6.6,Hyde,Stalybridge
Hyndburn Rd (33 kV / 6.6 kV),"375688.0","428877.0",Primary,33 kV / 6.6,Huncoat,Padiham
India St (33 kV / 6.6 kV),"369485.0","421865.0",Primary,33 kV / 6.6,Lower Darwen,Rochdale
Ingleton (33 kV / 11 kV),"368913.0","472337.0",Primary,33 kV / 11,Kendal (Parkside Rd),Hutton
Irlam (33 kV / 6.6 kV),"371680.0","393360.0",Primary,33 kV / 6.6,Carrington Bsp,Carrington
James St (33 kV / 11 kV),"340034.0","555418.0",Primary,33 kV / 11,Carlisle,Harker
Kay St (33 kV / 6.6 kV),"373863.0","427594.0",Primary,33 kV / 6.6,Huncoat,Padiham
Kendal (33 kV / 11 kV),"351915.0","491858.0",Primary,33 kV / 11,Kendal (Parkside Rd),Hutton
Keswick (33 kV / 11 kV),"327022.0","523784.0",Primary,33 kV / 11,Stainburn & Siddick,Harker
Kingsway (33 kV / 11 kV),"391636.0","411724.0",Primary,33 kV / 11,Belfield,Rochdale
Kinkry Hill (33 kV / 11 kV),"350800.0","575111.0",Primary,33 kV / 11,"-",Harker
Kirkby Lonsdale (33 kV / 11 kV),"359833.0","478813.0",Primary,33 kV / 11,Kendal (Parkside Rd),Hutton
Kirkby Moor (33 kV / 11 kV),"326099.0","483011.0",Primary,33 kV / 11,Ulverston,Harker
Kirkby Stephen (33 kV / 11 kV),"376579.0","509136.0",Primary,33 kV / 11,Penrith & Shap,Hutton
